source class,source id,target class,target id,relation,relation attribute,note,remark,S_check,T_Check
Journey,J17630918,Entry,E008752,contains,,,,O,O
Journey,J17630919,Entry,E008753,contains,,,,O,O
Journey,J17630919,Entry,E008754,contains,,,,O,O
Journey,J17630919,Entry,E008755,contains,,,,O,O
Journey,J17630919,Entry,E008756,contains,,,,O,O
Journey,J17630919,Entry,E008757,contains,,,,O,O
Journey,J17630919,Entry,E008758,contains,,,,O,O
Journey,J17630919,Entry,E008759,contains,,,,O,O
Journey,J17630919,Entry,E008760,contains,,,,O,O
Journey,J17630920,Entry,E008761,contains,,,,O,O
Journey,J17630920,Entry,E008762,contains,,,,O,O
Journey,J17630920,Entry,E008763,contains,,,,O,O
Journey,J17630920,Entry,E008764,contains,,,,O,O
Journey,J17630920,Entry,E008765,contains,,,,O,O
Journey,J17630920,Entry,E008766,contains,,,,O,O
Journey,J17630920,Entry,E008767,contains,,,,O,O
Journey,J17630921,Entry,E008768,contains,,,,O,O
Journey,J17630921,Entry,E008769,contains,,,,O,O
Journey,J17630921,Entry,E008770,contains,,,,O,O
Journey,J17630922,Entry,E008771,contains,,,,O,O
Journey,J17630922,Entry,E008772,contains,,,,O,O
Journey,J17630923,Entry,E008773,contains,,,,O,O
Journey,J17630923,Entry,E008774,contains,,,,O,O
Journey,J17630924,Entry,E008775,contains,,,,O,O
Journey,J17630924,Entry,E008776,contains,,,,O,O
Journey,J17630924,Entry,E008777,contains,,,,O,O
Journey,J17630925,Entry,E008778,contains,,,,O,O
Journey,J17630925,Entry,E008779,contains,,,,O,O
Journey,J17630925,Entry,E008780,contains,,,,O,O
Journey,J17630926,Entry,E008781,contains,,,,O,O
Journey,J17630926,Entry,E008782,contains,,,,O,O
Journey,J17630927,Entry,E008783,contains,,,,O,O
Journey,J17630927,Entry,E008784,contains,,,,O,O
Journey,J17630827,Time,1763년 8월 27일,occursAt,,,,O,O
Journey,J17630829,Time,1763년 8월 29일,occursAt,,,,O,O
Journey,J17630830,Time,1763년 8월 30일,occursAt,,,,O,O
Journey,J17630901,Time,1763년 9월 1일,occursAt,,,,O,O
Journey,J17630902,Time,1763년 9월 2일,occursAt,,,,O,O
Journey,J17630903,Time,1763년 9월 3일,occursAt,,,,O,O
Journey,J17630904,Time,1763년 9월 4일,occursAt,,,,O,O
Journey,J17630905,Time,1763년 9월 5일,occursAt,,,,O,O
Journey,J17630906,Time,1763년 9월 6일,occursAt,,,,O,O
Journey,J17630907,Time,1763년 9월 7일,occursAt,,,,O,O
Journey,J17630909,Time,1763년 9월 9일,occursAt,,,,O,O
Journey,J17630910,Time,1763년 9월 10일,occursAt,,,,O,O
Journey,J17630911,Time,1763년 9월 11일,occursAt,,,,O,O
Journey,J17630912,Time,1763년 9월 12일,occursAt,,,,O,O
Journey,J17630913,Time,1763년 9월 13일,occursAt,,,,O,O
Journey,J17630914,Time,1763년 9월 14일,occursAt,,,,O,O
Journey,J17630915,Time,1763년 9월 15일,occursAt,,,,O,O
Journey,J17630917,Time,1763년 9월 17일,occursAt,,,,O,O
Journey,J17630918,Time,1763년 9월 18일,occursAt,,,,O,O
Journey,J17630919,Time,1763년 9월 19일,occursAt,,,,O,O
Journey,J17630920,Time,1763년 9월 20일,occursAt,,,,O,O
Journey,J17630921,Time,1763년 9월 21일,occursAt,,,,O,O
Journey,J17630922,Time,1763년 9월 22일,occursAt,,,,O,O
Journey,J17630923,Time,1763년 9월 23일,occursAt,,,,O,O
Journey,J17630924,Time,1763년 9월 24일,occursAt,,,,O,O
Journey,J17630925,Time,1763년 9월 25일,occursAt,,,,O,O
Journey,J17630926,Time,1763년 9월 26일,occursAt,,,,O,O
Journey,J17630927,Time,1763년 9월 27일,occursAt,,,,O,O
Journey,J17630827,Place,만일동,visits,,,,O,O
Journey,J17630827,Temple,순창 법운암,visits,유숙,,,O,O
Journey,J17630829,Place,두곡,visits,유숙,,,O,O
Journey,J17630830,Temple,정읍 상두사,visits,유숙,,,O,O
Journey,J17630901,Temple,김제 금산사,visits,,,,O,O
Journey,J17630901,Temple,김제 금산사 송대,visits,,,,O,O
Journey,J17630901,Temple,감로암,visits,,,,O,O
Journey,J17630901,Temple,감로암 비전,visits,,,,O,O
Journey,J17630901,Temple,은격암,visits,유숙,,,O,O
Journey,J17630902,Place,국사봉,visits,,,,O,O
Journey,J17630902,Place,완부시,visits,,,,O,O
Journey,J17630902,Place,완부치첩,visits,,,,O,O
Journey,J17630902,Place,전주 경기전,visits,,,,O,O
Journey,J17630902,Place,완부 서문,visits,유숙,,,O,O
Journey,J17630903,Place,양정포,visits,,,,O,O
Journey,J17630903,Place,옥포역,visits,,,,O,O
Journey,J17630903,Place,구좌리,visits,유숙,,,O,O
Journey,J17630904,Temple,완주 화암사,visits,,,,O,O
Journey,J17630904,Temple,완주 화암사 우화루,visits,,,,O,O
Journey,J17630904,Temple,완주 화암사 향각,visits,유숙,,,O,O
Journey,J17630904,Temple,완주 화암사 의상암,visits,,,,O,O
Journey,J17630904,Temple,완주 화암사 윤필암,visits,유숙,,,O,O
Journey,J17630905,Temple,완주 화암사 신실,visits,,,,O,O
Journey,J17630905,Temple,완주 안심사,visits,,,,O,O
Journey,J17630905,Temple,완주 안심사 사리각,visits,,,,O,O
Journey,J17630905,Temple,완주 안심사 적설루,visits,,,,O,O
Journey,J17630905,Temple,완주 안심사 향각,visits,,,,O,O
Journey,J17630905,Temple,완주 안심사 한산전,visits,,,,O,O
Journey,J17630905,Temple,완주 백운암,visits,,,,O,O
Journey,J17630905,Temple,득모암,visits,,,,O,O
Journey,J17630905,Place,만경대,visits,,,,O,O
Journey,J17630905,Temple,행도암,visits,,,,O,O
Journey,J17630905,Place,마정령,visits,,,,O,O
Journey,J17630905,Temple,중봉암,visits,유숙,,,O,O
Journey,J17630906,Temple,허통암,visits,,,,O,O
Journey,J17630906,Place,마천대,visits,,,,O,O
Journey,J17630906,Temple,완주 대둔암,visits,유숙,,,O,O
Journey,J17630907,Temple,대은암,visits,유숙,,,O,O
Journey,J17630909,Place,진산읍,visits,유숙,,,O,O
Journey,J17630910,Place,천등산,visits,,,,O,O
Journey,J17630910,Temple,완주 신흥사,visits,유숙,,,O,O
Journey,J17630911,Temple,운문사,visits,,,,O,O
Journey,J17630911,Temple,운문사 서굴,visits,유숙,,,O,O
Journey,J17630912,Temple,내둔암,visits,,,,O,O
Journey,J17630912,Place,위봉성 동문,visits,,,,O,O
Journey,J17630912,Temple,북암,visits,유숙,,,O,O
Journey,J17630913,Temple,완주 송광사,visits,유숙,,,O,O
Journey,J17630914,Place,삼천,visits,유숙,,,O,O
Journey,J17630915,Place,시산,visits,유숙,,,O,O
